AMP ID,Project Title,Status,Donor,District,City
87238111559,54-11200083-KAT (Culture) Supporting national efforts for effective implementation of the WH Convention in Nepal,Completed,"United Nations Educational, Scientific and Cultural Organization",Bhaktapur,Bhaktapur
87238111559,54-11200083-KAT (Culture) Supporting national efforts for effective implementation of the WH Convention in Nepal,Completed,"United Nations Educational, Scientific and Cultural Organization",Kapilvastu,Taulihawa
87238111559,54-11200083-KAT (Culture) Supporting national efforts for effective implementation of the WH Convention in Nepal,Completed,"United Nations Educational, Scientific and Cultural Organization",Kathmandu,Kathmandu
87238111559,54-11200083-KAT (Culture) Supporting national efforts for effective implementation of the WH Convention in Nepal,Completed,"United Nations Educational, Scientific and Cultural Organization",Lalitpur,Patan
87238111560,54-12200039-KAT (Culture) Support for strengthening national policies for safeguarding Nepal's intangible cultural heritage in the spirit of 2003 Convention,,,,
8.72382E+11,Saksham,New,ActionAid International (AAI),Chitwan,Bharatpur
8.72382E+11,Saksham,New,ActionAid International (AAI),Kathmandu,Kathmandu
8.72382E+11,Saksham,New,ActionAid International (AAI),Mahottari,Jaleswor
8.72382E+11,Saksham,New,ActionAid International (AAI),Makwanpur,Hetauda
8.72382E+11,Saksham,New,ActionAid International (AAI),Parsa,Birgunj
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Arghakhanchi,Sandhikharka
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Baglung,Baglung
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Bhojpur,Bhojpur
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Chitwan,Bharatpur
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Dang Deukhuri,Ghorahi
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Dhading,Dhading Besi
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Dhankuta,Dhankuta
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Dholkha,Charikot
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Gorkha,Gorkha
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Gulmi,Tamghas
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Ilam,Ilam
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Kaski,Pokhara
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Khotang,Diktel
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Lamjung,Bensi Sahar
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Morang,Biratnagar
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Myagdi,Beni
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Nawalparasi,Parasi
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Okhaldhunga,Okhaldhunga
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Palpa,Tansen
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Panchthar,Phidim
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Parbat,Kusma
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Pyuthan,Pyuthan Khalanga
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Ramechhap,Manthali
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Rolpa,Liwang
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Sankhuwasabha,Khandbari
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Solukhumbu,Salleri
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Sunsari,Inaruwa
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Syangja,Syangja
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Tanahu,Damauli
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Taplejung,Taplejung
8723883795,Gurkha Welfare Phase 4,Completed,Department for International Development,Terhathum,Manglung
8.72382E+11,Deepening Democracy Project (DD),New,Danida HUGOU,Morang,Biratnagar
8.72382E+11,Deepening Democracy Project (DD),New,Danida HUGOU,Nawalparasi,Parasi
8.72382E+11,Deepening Democracy Project (DD),New,Danida HUGOU,Palpa,Tansen
8.72382E+11,Deepening Democracy Project (DD),New,Danida HUGOU,Sunsari,Inaruwa
8.72381E+11,TCP/NEP/3303-Improving national carp seed production system in Nepal,,,,
8723879347,Secondary Towns Integrated Urban Environmental Improvement Project - PPTA,,,,
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Achham,Mangalsen
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Baitadi,Baitadi
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Bajhang,Chainpur
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Bajura,Martadi
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Dadeldhura,Dadeldhura
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Darchula,Darchula
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Doti,Dipayal
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Kailali,Dhangadhi
8723879334,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,Completed,Asian Development Bank,Kanchanpur,Mahendara Nagar
8.72382E+11,Building Disaster Resilient Communities(BDRC),pipeline,Department for International Development,Kaski,Pokhara
87238106450,"SENEP1003827 - To improve health services through better governance, financing, staffing and management, to improve knowledge, management and information technology and the use of essential medicinal products",,,,
87238106457,"SENEP1004037 - Non-Communicable Diseases, Mental Health and Oral Health",,,,
87238106454,"SENEP1003982 - Improving health and nutrition during key stage of life-including pregnancy, childbirth, neonatal period, childhood, adolescence and older age-promoting equity",,,,
87238106453,SENEP1003934 - Nepal Human Resources for Health,,,,
87238106458,"SENEP1004085 - Health promotion, tobacco, injury, violence, deafness and blindness",,,,
87238106449,SENEP1003708 - Nepal Tuberculosis,,,,
87238106451,SENEP1003933 - Environmental Health and Food Safety,,,,
87238106459,SENEP1004175 - Communicable Disease Surveillance and Response/Malaria/Essential Health Technology,,,,
87238106455,SENEP1003990 - Programme for Immunization Preventable Diseases,,,,
87238106630,"SENEP1004135 - Reduce the health consequences of emergencies, disasters, crises and conflits, and minimize their social and economic impact",,,,
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Bajura,Martadi
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Banke,Nepalgunj
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Bara,Kalaiya
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Bardiya,Gulariya
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Bhaktapur,Bhaktapur
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Chitwan,Bharatpur
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Dang Deukhuri,Ghorahi
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Dhanusa,Janakpur
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Dholkha,Charikot
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Jhapa,Chandragadhi
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Kapilvastu,Taulihawa
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Kaski,Pokhara
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Kathmandu,Kathmandu
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Lalitpur,Patan
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Morang,Biratnagar
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Nawalparasi,Parasi
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Parsa,Birgunj
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Rasuwa,Dhunche
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Siraha,Siraha
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Terhathum,Manglung
8.72382E+11,Poverty Alleviation Programme,New,ActionAid International (AAI),Udayapur,Gaighat
8.72382E+11,Quality Education through Disaster Resilient Schools in Kailali District,New,Reach Out To Asia (ROTA),Kailali,Dhangadhi
8723897755,Improving Research Capacity of Forest Resource Information Technology (IRCFRIT),,,,
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Bara,Kalaiya
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Chitwan,Bharatpur
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Gulmi,Tamghas
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Kapilvastu,Taulihawa
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Kaski,Pokhara
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Nawalparasi,Parasi
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Palpa,Tansen
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Rautahat,Gaur
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Rupandehi,Bhairahawa
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Syangja,Syangja
8723883715,Market Access for Small Farmers,Completed,Department for International Development,Tanahu,Damauli
8723891747,SAHAKARYA - agriculture,Completed,Canadian International Development Agency,Baitadi,Baitadi
8723891747,SAHAKARYA - agriculture,Completed,Canadian International Development Agency,Dadeldhura,Dadeldhura
8723891747,SAHAKARYA - agriculture,Completed,Canadian International Development Agency,Dailekh,Dullu
8723891747,SAHAKARYA - agriculture,Completed,Canadian International Development Agency,Jumla,Jumla Khalanga
8723891747,SAHAKARYA - agriculture,Completed,Canadian International Development Agency,Surkhet,Surkhet
